top - 07:16:45 up 45 min,  1 user,  load average: 0.07, 0.09, 0.10
Tasks: 235 total,   2 running, 233 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.9 us,  0.0 sy,  0.0 ni, 99.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3915.9 total,    470.2 free,   1875.4 used,   1663.6 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   2040.4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    100 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    101 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    102 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    106 root      20   0       0      0      0 I   0.0   0.0   0:00.08 kworker+
    117 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    118 root       0 -20       0      0      0 I   0.0   0.0   0:00.02 kworker+
    170 root      20   0       0      0      0 I   0.0   0.0   0:01.41 kworker+
    173 root      20   0       0      0      0 S   0.0   0.0   0:00.17 scsi_eh+
    174 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    192 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    199 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker+
    233 root      20   0       0      0      0 S   0.0   0.0   0:00.16 jbd2/sd+
    234 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    284 root      19  -1   50840  17216  15936 S   0.0   0.4   0:00.19 systemd+
    355 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
    357 root      20   0   30588   8364   4908 S   0.0   0.2   0:00.11 systemd+
    358 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
    403 systemd+  20   0   17560   7432   6664 S   0.0   0.2   0:00.52 systemd+
    404 systemd+  20   0   21724  13000  10696 S   0.0   0.3   0:00.10 systemd+
    405 systemd+  20   0   91048   7824   6928 S   0.0   0.2   0:00.03 systemd+
    466 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    575 root       0 -20       0      0      0 I   0.0   0.0   0:00.05 kworker+
    584 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    587 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/18-+
    589 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    856 avahi     20   0    8760   4320   4064 S   0.0   0.1   0:00.04 avahi-d+
    857 message+  20   0   12160   7216   4528 S   0.0   0.2   0:00.35 dbus-da+
    860 gnome-r+  20   0  439076  15948  13644 S   0.0   0.4   0:00.02 gnome-r+
    876 polkitd   20   0  390980  12136   8248 S   0.0   0.3   0:00.35 polkitd
    877 root      20   0  313376   7476   6836 S   0.0   0.2   0:00.02 power-p+
    880 root      20   0 1996844  38100  24924 S   0.0   1.0   0:01.03 snapd
    881 root      20   0  313292   7484   6716 S   0.0   0.2   0:00.08 account+
    883 root      20   0    9424   2620   2492 S   0.0   0.1   0:00.00 cron
    884 root      20   0  309720   6636   6124 S   0.0   0.2   0:00.01 switche+
    886 root      20   0   18152   8636   7740 S   0.0   0.2   0:00.07 systemd+
    887 root      20   0  469612  14316  11628 S   0.0   0.4   0:00.10 udisksd
